ts,server,online,count
1781523140,AltarExtra,1,19
1781523263,AltarExtra,1,20
1781523273,AltarExtra,1,20
1781523381,AltarExtra,1,20
1781523496,AltarExtra,1,20
1781523620,AltarExtra,1,20
1781523734,AltarExtra,1,19
1781523860,AltarExtra,1,19
1781523978,AltarExtra,1,18
1781524100,AltarExtra,1,19
1781524220,AltarExtra,1,18
1781524342,AltarExtra,1,18
1781524457,AltarExtra,1,19
1781524575,AltarExtra,1,18
1781524699,AltarExtra,1,18
1781524832,AltarExtra,1,16
1781524934,AltarExtra,1,16
1781525061,AltarExtra,1,15
1781525173,AltarExtra,1,15
1781525295,AltarExtra,1,12
1781525427,AltarExtra,1,14
1781525543,AltarExtra,1,14
1781525656,AltarExtra,1,15
1781525776,AltarExtra,1,19
1781525894,AltarExtra,1,19
1781526020,AltarExtra,1,18
1781526134,AltarExtra,1,17
1781526255,AltarExtra,1,17
1781526376,AltarExtra,1,18
1781526494,AltarExtra,1,18
1781526622,AltarExtra,1,18
1781526734,AltarExtra,1,18
1781526861,AltarExtra,1,20
1781526975,AltarExtra,1,20
1781527103,AltarExtra,1,19
1781527225,AltarExtra,1,22
1781527336,AltarExtra,1,23
1781527453,AltarExtra,1,22
1781527575,AltarExtra,1,23
1781527694,AltarExtra,1,23
1781527823,AltarExtra,1,22
1781527935,AltarExtra,1,18
1781528058,AltarExtra,1,20
1781528179,AltarExtra,1,20
1781528293,AltarExtra,1,23
1781528422,AltarExtra,1,21
1781528536,AltarExtra,1,21
1781528660,AltarExtra,1,22
1781528784,AltarExtra,1,23
1781528900,AltarExtra,1,21
1781529025,AltarExtra,1,21
1781529150,AltarExtra,1,20
1781529260,AltarExtra,1,21
1781529385,AltarExtra,1,18
1781529503,AltarExtra,1,19
1781529624,AltarExtra,1,18
1781529736,AltarExtra,1,18
1781529857,AltarExtra,1,16
1781529984,AltarExtra,1,17
1781530098,AltarExtra,1,17
1781530222,AltarExtra,1,17
1781530340,AltarExtra,1,15
1781530461,AltarExtra,1,16
1781530578,AltarExtra,1,16
1781530702,AltarExtra,1,16
1781530827,AltarExtra,1,17
1781530944,AltarExtra,1,18
1781531061,AltarExtra,1,17
1781531217,AltarExtra,1,16
1781531297,AltarExtra,1,14
1781531422,AltarExtra,1,14
1781531534,AltarExtra,1,16
1781531658,AltarExtra,1,15
1781531776,AltarExtra,1,14
1781531916,AltarExtra,1,14
1781532028,AltarExtra,1,17
1781532140,AltarExtra,1,18
1781532256,AltarExtra,1,18
1781532377,AltarExtra,1,21
1781532503,AltarExtra,1,21
1781532628,AltarExtra,1,19
1781532736,AltarExtra,1,20
1781532860,AltarExtra,1,17
1781532978,AltarExtra,1,18
1781533098,AltarExtra,1,16
1781533220,AltarExtra,1,16
1781533339,AltarExtra,1,15
1781533456,AltarExtra,1,16
1781533577,AltarExtra,1,16
1781533697,AltarExtra,1,15
1781533828,AltarExtra,1,15
1781533943,AltarExtra,1,14
1781534060,AltarExtra,1,14
1781534186,AltarExtra,1,14
1781534296,AltarExtra,1,14
1781534423,AltarExtra,1,16
1781534537,AltarExtra,1,17
1781534660,AltarExtra,1,18
1781534775,AltarExtra,1,17
1781534902,AltarExtra,1,16
1781535026,AltarExtra,1,18
1781535142,AltarExtra,1,20
1781535254,AltarExtra,1,19
1781535387,AltarExtra,1,19
1781535501,AltarExtra,1,19
1781535627,AltarExtra,1,17
1781535734,AltarExtra,1,14
1781535856,AltarExtra,1,13
1781535984,AltarExtra,1,13
1781536098,AltarExtra,1,15
1781536231,AltarExtra,1,13
1781536339,AltarExtra,1,13
1781536458,AltarExtra,1,14
1781536579,AltarExtra,1,17
1781536698,AltarExtra,1,14
1781536826,AltarExtra,1,17
1781536937,AltarExtra,1,17
1781537062,AltarExtra,1,18
1781537178,AltarExtra,1,18
1781537298,AltarExtra,1,18
1781537431,AltarExtra,1,20
1781537536,AltarExtra,1,20
1781537661,AltarExtra,1,18
1781537784,AltarExtra,1,18
1781537895,AltarExtra,1,18
1781538023,AltarExtra,1,19
1781538145,AltarExtra,1,18
1781538263,AltarExtra,1,18
1781538385,AltarExtra,1,17
1781538503,AltarExtra,1,17
1781538631,AltarExtra,1,18
1781538734,AltarExtra,1,18
1781538865,AltarExtra,1,19
1781538982,AltarExtra,1,19
1781539103,AltarExtra,1,20
1781539234,AltarExtra,1,20
1781539337,AltarExtra,1,19
1781539458,AltarExtra,1,19
1781539577,AltarExtra,1,18
1781539701,AltarExtra,1,21
1781539828,AltarExtra,1,20
1781539952,AltarExtra,1,19
1781540059,AltarExtra,1,18
1781540185,AltarExtra,1,22
1781540311,AltarExtra,1,22
1781540421,AltarExtra,1,21
1781540554,AltarExtra,1,23
1781540658,AltarExtra,1,22
1781540778,AltarExtra,1,27
1781540897,AltarExtra,1,26
1781541024,AltarExtra,1,23
1781541108,AltarExtra,1,20
1781541136,AltarExtra,1,20
1781541258,AltarExtra,1,19
1781541376,AltarExtra,1,23
1781541495,AltarExtra,1,23
1781541625,AltarExtra,1,22
1781541734,AltarExtra,1,22
1781541860,AltarExtra,1,24
1781541981,AltarExtra,1,26
1781542102,AltarExtra,1,27
1781542217,AltarExtra,1,27
1781542351,AltarExtra,1,26
1781542453,AltarExtra,1,28
1781542574,AltarExtra,1,28
1781542693,AltarExtra,1,28
1781542831,AltarExtra,1,29
1781542942,AltarExtra,1,28
1781543059,AltarExtra,1,28
1781543178,AltarExtra,1,27
1781543302,AltarExtra,1,24
1781543425,AltarExtra,1,24
1781543558,AltarExtra,1,25
1781543657,AltarExtra,1,22
1781543784,AltarExtra,1,22
1781543908,AltarExtra,1,20
1781544020,AltarExtra,1,20
1781544142,AltarExtra,1,20
1781544253,AltarExtra,1,19
1781544374,AltarExtra,1,19
1781544498,AltarExtra,1,19
1781544629,AltarExtra,1,19
1781544748,AltarExtra,1,18
1781544855,AltarExtra,1,16
1781544984,AltarExtra,1,16
1781545102,AltarExtra,1,18
1781545221,AltarExtra,1,19
1781545338,AltarExtra,1,20
1781545470,AltarExtra,1,18
1781545586,AltarExtra,1,20
1781545698,AltarExtra,1,20
1781545824,AltarExtra,1,22
1781545947,AltarExtra,1,22
1781546072,AltarExtra,1,23
1781546179,AltarExtra,1,22
1781546299,AltarExtra,1,25
1781546434,AltarExtra,1,22
1781546556,AltarExtra,1,20
1781546675,AltarExtra,1,21
1781546779,AltarExtra,1,21
1781546902,AltarExtra,1,21
1781547020,AltarExtra,1,24
1781547141,AltarExtra,1,23
1781547264,AltarExtra,1,24
1781547388,AltarExtra,1,25
1781547500,AltarExtra,1,26
1781547628,AltarExtra,1,25
1781547742,AltarExtra,1,26
1781547863,AltarExtra,1,27
1781547979,AltarExtra,1,28
1781548097,AltarExtra,1,29
1781548222,AltarExtra,1,23
1781548342,AltarExtra,1,23
1781548454,AltarExtra,1,27
1781548575,AltarExtra,1,24
1781548696,AltarExtra,1,23
1781548821,AltarExtra,1,22
1781548935,AltarExtra,1,22
1781549060,AltarExtra,1,20
1781549182,AltarExtra,1,20
1781549294,AltarExtra,1,21
1781549426,AltarExtra,1,21
1781549539,AltarExtra,1,21
1781549655,AltarExtra,1,21
1781549779,AltarExtra,1,19
